,date,competition,round,day,venue,result,goals_for,goals_against,opponent,possession,attendance,captain,formation,opponent_formation,referee,notes,season,time_local,xG,xGA
0,2014-09-04,Sudamericana,Second stage,Thu,Away,D,1.0,1.0,Rosario Central,,,Unknown,Unknown,Unknown,Mauro Vigliano,Leg 1 of 2,2014,21:15,,
1,2014-09-18,Sudamericana,Second stage,Thu,Home,W,3.0,0.0,Rosario Central,,,Unknown,Unknown,Unknown,Diego Abal,Leg 2 of 2; Boca Juniors won,2014,21:15,,
2,2014-10-15,Sudamericana,Round of 16,Wed,Home,L,0.0,1.0,Capiatá,,,Unknown,Unknown,Unknown,Sandro Ricci,Leg 1 of 2,2014,21:15,,
3,2014-10-23,Sudamericana,Round of 16,Thu,Away,W,1.0,0.0,Capiatá,,,Unknown,Unknown,Unknown,Wilmar Roldán,Leg 2 of 2; Boca Juniors won; Boca Juniors won on penalty kicks following extra time,2014,21:15,,
4,2014-10-30,Sudamericana,Quarter-finals,Thu,Home,W,1.0,0.0,Cerro Porteño,,,Unknown,Unknown,Unknown,Víctor Carrillo,Leg 1 of 2,2014,21:30,,
5,2014-11-06,Sudamericana,Quarter-finals,Thu,Away,W,4.0,1.0,Cerro Porteño,,,Unknown,Unknown,Unknown,Martín Vázquez,Leg 2 of 2; Boca Juniors won,2014,19:00,,
6,2014-11-20,Sudamericana,Semi-finals,Thu,Home,D,0.0,0.0,River Plate,,,Unknown,Unknown,Unknown,Silvio Trucco,Leg 1 of 2,2014,20:45,,
7,2014-11-27,Sudamericana,Semi-finals,Thu,Away,L,0.0,1.0,River Plate,,,Unknown,Unknown,Unknown,Germán Delfino,Leg 2 of 2; River Plate won,2014,20:45,,
8,2015-02-15,Primera Div,Matchweek 1,Sun,Home,W,3.0,1.0,Club Olimpo,,,Unknown,Unknown,Unknown,Fernando Echenique,No Notes,2015,18:15,,
9,2015-02-18,Libertadores,Second stage,Wed,Away,W,2.0,0.0,Palestino,,13382.0,Unknown,Unknown,Unknown,Wilmar Roldán,No Notes,2015,18:45,,
10,2015-02-22,Primera Div,Matchweek 2,Sun,Away,W,2.0,0.0,Temperley,,,Unknown,Unknown,Unknown,Fernando Rapallini,No Notes,2015,21:30,,
11,2015-02-26,Libertadores,Second stage,Thu,Home,W,2.0,1.0,Wanderers,,,Unknown,Unknown,Unknown,Ricardo Marques Ribeiro,No Notes,2015,20:15,,
