player,nation,position,age,nineties,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribble_challenges,dribble_tackle_pct,dribbled_past,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors,fbref_comp_id,season
Cristian Pavón,ARG,,20.0,28.6,41.0,30.0,9.0,21.0,11.0,13.0,41.0,31.7,28.0,32.0,0.0,32.0,25.0,66.0,6.0,0.0,21.0,2016
Pablo Pérez,ARG,,30.0,25.5,69.0,55.0,27.0,35.0,7.0,19.0,45.0,42.2,26.0,34.0,5.0,29.0,36.0,105.0,19.0,2.0,21.0,2016
Gino Peruzzi,ARG,,24.0,24.1,49.0,40.0,28.0,18.0,3.0,21.0,35.0,60.0,14.0,33.0,6.0,27.0,52.0,101.0,67.0,2.0,21.0,2016
Santiago Vergini,ARG,,27.0,24.7,37.0,28.0,28.0,9.0,0.0,13.0,19.0,68.4,6.0,23.0,12.0,11.0,55.0,92.0,102.0,2.0,21.0,2016
Darío Benedetto,ARG,,26.0,20.5,6.0,3.0,0.0,4.0,2.0,1.0,8.0,12.5,7.0,22.0,2.0,20.0,2.0,8.0,14.0,0.0,21.0,2016
Rodrigo Bentancur,URU,,19.0,20.4,56.0,44.0,19.0,33.0,4.0,20.0,42.0,47.6,22.0,46.0,3.0,43.0,46.0,102.0,28.0,1.0,21.0,2016
Juan Manuel Insaurralde,ARG,,31.0,18.5,22.0,17.0,17.0,5.0,0.0,12.0,20.0,60.0,8.0,17.0,9.0,8.0,21.0,43.0,82.0,0.0,21.0,2016
Frank Fabra,COL,,25.0,17.9,29.0,24.0,16.0,10.0,3.0,17.0,25.0,68.0,8.0,18.0,2.0,16.0,47.0,76.0,36.0,0.0,21.0,2016
Ricardo Centurión,ARG,,23.0,15.0,17.0,12.0,7.0,6.0,4.0,8.0,18.0,44.4,10.0,15.0,0.0,15.0,9.0,26.0,2.0,0.0,21.0,2016
Agustín Rossi,ARG,,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,21.0,2016
Fernando Gago,ARG,,30.0,15.9,46.0,35.0,16.0,28.0,2.0,20.0,36.0,55.6,16.0,35.0,3.0,32.0,22.0,68.0,12.0,1.0,21.0,2016
Fernando Tobio,ARG,,26.0,12.6,11.0,11.0,8.0,3.0,0.0,5.0,9.0,55.6,4.0,9.0,7.0,2.0,26.0,37.0,56.0,0.0,21.0,2016
Jonathan Silva,ARG,,22.0,12.1,32.0,23.0,18.0,13.0,1.0,17.0,23.0,73.9,6.0,9.0,1.0,8.0,21.0,53.0,32.0,1.0,21.0,2016
Guillermo Sara,ARG,,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,2016
Wílmar Barrios,COL,,22.0,12.0,50.0,32.0,27.0,22.0,1.0,14.0,24.0,58.3,10.0,25.0,6.0,19.0,32.0,82.0,29.0,0.0,21.0,2016
Carlos Tevez,ARG,,32.0,10.2,8.0,4.0,0.0,4.0,4.0,3.0,8.0,37.5,5.0,9.0,1.0,8.0,2.0,10.0,1.0,0.0,21.0,2016
Leonardo Jara,ARG,,25.0,7.4,19.0,16.0,11.0,7.0,1.0,7.0,13.0,53.8,6.0,5.0,1.0,4.0,3.0,22.0,25.0,0.0,21.0,2016
Walter Bou,ARG,,22.0,9.5,8.0,6.0,0.0,7.0,1.0,1.0,4.0,25.0,3.0,14.0,4.0,10.0,5.0,13.0,1.0,0.0,21.0,2016
Lisandro Magallán,ARG,,22.0,4.7,9.0,7.0,7.0,1.0,1.0,2.0,2.0,100.0,0.0,3.0,3.0,0.0,7.0,16.0,31.0,0.0,21.0,2016
Fernando Zuqui,ARG,,24.0,4.8,3.0,2.0,2.0,1.0,0.0,2.0,6.0,33.3,4.0,21.0,4.0,17.0,3.0,6.0,4.0,0.0,21.0,2016
Sebastián Pérez Cardona,COL,,23.0,4.7,23.0,14.0,7.0,15.0,1.0,11.0,25.0,44.0,14.0,3.0,1.0,2.0,14.0,37.0,6.0,0.0,21.0,2016
Oscar Benítez,ARG,,23.0,3.5,7.0,5.0,6.0,1.0,0.0,3.0,8.0,37.5,5.0,5.0,0.0,5.0,5.0,12.0,2.0,0.0,21.0,2016
Andrés Cubas,PAR,,20.0,2.3,15.0,12.0,5.0,10.0,0.0,5.0,7.0,71.4,2.0,5.0,0.0,5.0,1.0,16.0,4.0,0.0,21.0,2016
Axel Werner,ARG,,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,21.0,2016
Nazareno Solís,ARG,,22.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,21.0,2016
Gonzalo Maroni,ARG,,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,2016
Federico Carrizo,ARG,,25.0,0.8,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,21.0,2016
Gonzalo Castellani,ARG,,28.0,0.7,2.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,21.0,2016
Agustín Rossi,ARG,,21.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,9.0,2.0,21.0,2017
Cristian Pavón,ARG,,21.0,25.2,36.0,28.0,9.0,18.0,9.0,11.0,43.0,25.6,32.0,16.0,0.0,16.0,21.0,57.0,7.0,0.0,21.0,2017
Lisandro Magallán,ARG,,23.0,25.0,39.0,27.0,27.0,11.0,1.0,17.0,24.0,70.8,7.0,16.0,11.0,5.0,51.0,90.0,157.0,1.0,21.0,2017
Wílmar Barrios,COL,,23.0,22.1,70.0,55.0,41.0,27.0,2.0,27.0,53.0,50.9,26.0,38.0,12.0,26.0,63.0,133.0,54.0,0.0,21.0,2017
Frank Fabra,COL,,26.0,21.5,58.0,42.0,42.0,13.0,3.0,29.0,54.0,53.7,25.0,21.0,6.0,15.0,36.0,94.0,71.0,1.0,21.0,2017
Nahitan Nández,URU,,21.0,21.0,64.0,38.0,19.0,39.0,6.0,22.0,47.0,46.8,25.0,16.0,2.0,14.0,18.0,82.0,21.0,0.0,21.0,2017
Leonardo Jara,ARG,,26.0,19.1,53.0,40.0,20.0,29.0,4.0,18.0,35.0,51.4,17.0,22.0,4.0,18.0,31.0,84.0,72.0,0.0,21.0,2017
Paolo Goltz,ARG,,32.0,17.5,24.0,15.0,16.0,8.0,0.0,10.0,21.0,47.6,11.0,15.0,12.0,3.0,36.0,60.0,95.0,0.0,21.0,2017
Edwin Cardona,COL,,24.0,17.5,32.0,26.0,9.0,16.0,7.0,8.0,21.0,38.1,13.0,13.0,0.0,13.0,15.0,47.0,7.0,0.0,21.0,2017
Pablo Pérez,ARG,,31.0,16.1,50.0,41.0,14.0,31.0,5.0,14.0,35.0,40.0,21.0,14.0,2.0,12.0,16.0,66.0,23.0,0.0,21.0,2017
Carlos Tevez,ARG,,33.0,9.0,9.0,6.0,1.0,8.0,0.0,1.0,9.0,11.1,8.0,5.0,0.0,5.0,2.0,11.0,1.0,0.0,21.0,2017
Darío Benedetto,ARG,,27.0,8.3,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,7.0,3.0,4.0,0.0,1.0,6.0,0.0,21.0,2017
Emanuel Reynoso,ARG,,21.0,8.0,26.0,17.0,5.0,19.0,2.0,9.0,28.0,32.1,19.0,13.0,0.0,13.0,9.0,35.0,0.0,0.0,21.0,2017
Santiago Vergini,ARG,,28.0,7.9,12.0,8.0,10.0,2.0,0.0,4.0,6.0,66.7,2.0,6.0,5.0,1.0,15.0,27.0,48.0,1.0,21.0,2017
Walter Bou,ARG,,23.0,6.4,9.0,8.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,10.0,7.0,0.0,21.0,2017
Fernando Gago,ARG,,31.0,5.8,10.0,6.0,5.0,4.0,1.0,3.0,10.0,30.0,7.0,7.0,1.0,6.0,12.0,22.0,4.0,0.0,21.0,2017
Ramón Ábila,ARG,,27.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,21.0,2017
Emmanuel Más,ARG,,28.0,5.4,13.0,11.0,10.0,3.0,0.0,8.0,18.0,44.4,10.0,4.0,0.0,4.0,16.0,29.0,13.0,0.0,21.0,2017
Julio Buffarini,ARG,,28.0,5.0,19.0,14.0,10.0,8.0,1.0,10.0,25.0,40.0,15.0,4.0,3.0,1.0,10.0,29.0,19.0,0.0,21.0,2017
Gino Peruzzi,ARG,,25.0,3.5,8.0,5.0,4.0,2.0,2.0,5.0,8.0,62.5,3.0,6.0,3.0,3.0,5.0,13.0,10.0,0.0,21.0,2017
,nan,,,,,,,,,,,,,,,,,,,,21.0,2017
Cristian Espinoza,ARG,,22.0,3.1,3.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,21.0,2017
Sebastián Pérez Cardona,COL,,24.0,2.5,10.0,4.0,8.0,2.0,0.0,3.0,7.0,42.9,4.0,2.0,1.0,1.0,7.0,17.0,6.0,0.0,21.0,2017
Oscar Benítez,ARG,,24.0,3.1,8.0,4.0,2.0,3.0,3.0,3.0,5.0,60.0,2.0,6.0,0.0,6.0,1.0,9.0,4.0,0.0,21.0,2017
Agustín Heredia,ARG,,20.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,6.0,9.0,24.0,0.0,21.0,2017
Guido Vadalá,ARG,,20.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,21.0,2017
Agustín Almendra,ARG,,17.0,1.1,2.0,1.0,1.0,0.0,1.0,2.0,4.0,50.0,2.0,4.0,0.0,4.0,1.0,3.0,2.0,0.0,21.0,2017
Julián Chicco,ARG,,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,8.0,9.0,3.0,0.0,21.0,2017
Gonzalo Goñi,ARG,,18.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,1.0,2.0,9.0,0.0,21.0,2017
Guillermo Sara,ARG,,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,2017
Gonzalo Maroni,ARG,,18.0,1.3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,21.0,2017
Agustín Bouzat,ARG,,23.0,0.5,3.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,21.0,2017
Gonzalo Lamardo,ARG,,20.0,0.3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,2017
Fernando Evangelista,ARG,,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2017
