player,nation,position,age,nineties,shot_creating_actions,shot_creating_actions_per90,sca_pass_live,sca_pass_dead,sca_take_ons,sca_shots,sca_fouls_drawn,sca_def_actions,goal_creating_actions,goal_creating_actions_per90,gca_pass_live,gca_pass_dead,gca_take_ons,gca_shots,gca_fouls_drawn,gca_def_actions,season
Carlos Izquierdoz,ARG,DF,31.0,19.7,5.0,0.42,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,2020
Esteban Andrada,ARG,GK,29.0,18.7,2.0,0.17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Nicolás Capaldo,ARG,MF,22.0,17.3,10.0,1.29,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.26,1.0,0.0,0.0,1.0,0.0,0.0,2020
Sebastián Villa,COL,"MF,FW",23.0,15.1,22.0,2.98,19.0,1.0,0.0,1.0,1.0,0.0,2.0,0.27,2.0,0.0,0.0,0.0,0.0,0.0,2020
Jorman Campuzano,COL,MF,23.0,14.8,8.0,0.92,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Julio Buffarini,ARG,DF,31.0,14.4,8.0,1.83,5.0,0.0,1.0,0.0,2.0,0.0,3.0,0.69,0.0,0.0,1.0,0.0,2.0,0.0,2020
Carlos Tevez,ARG,FW,35.0,14.3,57.0,5.66,37.0,7.0,5.0,5.0,2.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,2020
Leonardo Jara,ARG,DF,28.0,14.1,14.0,1.8,9.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Eduardo Salvio,ARG,MF,29.0,13.7,36.0,3.67,22.0,1.0,6.0,4.0,3.0,0.0,2.0,0.2,0.0,0.0,1.0,0.0,1.0,0.0,2020
Carlos Zambrano,PER,DF,30.0,13.1,1.0,0.37,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37,1.0,0.0,0.0,0.0,0.0,0.0,2020
Frank Fabra,COL,DF,28.0,12.7,27.0,3.14,21.0,1.0,5.0,0.0,0.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,2020
Edwin Cardona,COL,"MF,FW",27.0,12.6,33.0,7.0,21.0,8.0,4.0,0.0,0.0,0.0,4.0,0.85,3.0,1.0,0.0,0.0,0.0,0.0,2020
Emmanuel Más,ARG,"DF,MF",31.0,11.6,4.0,1.18,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Lisandro López,ARG,DF,30.0,11.3,10.0,1.25,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Franco Soldano,ARG,FW,25.0,10.1,10.0,1.61,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Ramón Ábila,ARG,FW,30.0,9.2,6.0,2.83,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Mauro Zárate,ARG,"FW,MF",32.0,7.8,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Agustín Rossi,ARG,GK,24.0,6.0,,,,,,,,,,,,,,,,,2020
Guillermo Matías Fernández,ARG,MF,28.0,5.4,14.0,2.68,10.0,1.0,2.0,1.0,0.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,2020
Agustín Obando,ARG,"MF,FW",19.0,5.2,6.0,2.13,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Diego González,ARG,MF,31.0,4.7,2.0,1.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Gastón Ávila,ARG,DF,18.0,4.0,,,,,,,,,,,,,,,,,2020
Gonzalo Maroni,ARG,"MF,FW",20.0,3.5,7.0,5.58,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,2020
