player,nation,position,age,nineties,goals_against,pka,fk,ck,og,post_shot_xg,post_shot_xg_per_sot,psxg_plus_minus,psxg_plus_minus_per90,cmp,att,cmp_,att_gk_,thr,launch_,avglen,att_1,launch_1,avglen_1,opp,stp,stp_,def_actions_outside_pen_area,def_actions_outside_pen_area_per90,avgdist,fbref_comp_id,season
Agustín Rossi,ARG,GK,20.0,16.0,12,1.0,0.0,3.0,1.0,0.0,0.0,-11.0,-0.69,79.0,226.0,35.0,385.0,89.0,39.2,35.5,143.0,52.4,43.9,216.0,9.0,4.2,9.0,0.56,12.8,21.0,2016
Guillermo Sara,ARG,GK,28.0,12.0,10,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-0.83,43.0,150.0,28.7,219.0,47.0,45.7,37.5,125.0,40.0,38.0,147.0,13.0,8.8,2.0,0.17,12.3,21.0,2016
Axel Werner,ARG,GK,20.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.5,5.0,23.0,21.7,32.0,8.0,34.4,32.2,20.0,60.0,44.8,35.0,1.0,2.9,2.0,1.0,12.0,21.0,2016
Agustín Rossi,ARG,GK,21.0,26.0,19,0.0,0.0,3.0,0.0,21.1,0.26,2.1,0.08,111.0,329.0,33.7,494.0,130.0,36.6,33.7,247.0,59.9,45.2,326.0,13.0,4.0,13.0,0.5,13.4,21.0,2017
Guillermo Sara,ARG,GK,29.0,1.0,3,0.0,0.0,0.0,0.0,3.7,0.32,0.7,0.68,6.0,27.0,22.2,17.0,4.0,76.5,48.2,14.0,100.0,64.6,23.0,1.0,4.3,1.0,1.0,10.0,21.0,2017
Esteban Andrada,ARG,GK,27.0,18.0,9,1.0,0.0,2.0,0.0,13.4,0.19,4.4,0.24,114.0,301.0,37.9,421.0,84.0,39.9,35.1,178.0,74.7,52.4,286.0,22.0,7.7,20.0,1.11,13.6,21.0,2018
Agustín Rossi,ARG,GK,22.0,6.0,8,0.0,0.0,0.0,0.0,8.0,0.29,0.0,-0.01,27.0,68.0,39.7,123.0,43.0,29.3,30.3,54.0,59.3,45.1,80.0,1.0,1.3,11.0,1.83,18.5,21.0,2018
Marcos Guillermo Díaz,ARG,GK,32.0,1.0,1,0.0,0.0,0.0,0.0,1.1,0.23,0.1,0.14,6.0,11.0,54.5,15.0,6.0,46.7,39.0,7.0,57.1,47.1,8.0,0.0,0.0,0.0,0.0,,21.0,2018
Esteban Andrada,ARG,GK,28.0,20.0,7,0.0,1.0,0.0,0.0,13.5,0.21,6.5,0.33,125.0,322.0,38.8,484.0,66.0,40.1,34.2,175.0,73.1,49.8,265.0,18.0,6.8,20.0,1.0,16.2,21.0,2019
Marcos Guillermo Díaz,ARG,GK,33.0,3.0,1,0.0,0.0,1.0,0.0,3.1,0.21,2.1,0.7,19.0,58.0,32.8,69.0,11.0,52.2,38.4,28.0,78.6,50.8,36.0,2.0,5.6,0.0,0.0,12.7,21.0,2019
