player,nation,position,age,nineties,yellow_cards,red_cards,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,season,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,fbref_comp_id
Agustín Orión,ARG,GK,32.0,26.3,2,0,0.0,,,,,,,,,0.0,2014,,,,,
Leandro Marín,ARG,DF,22.0,19.8,4,0,0.0,,,,,,,,,0.0,2014,,,,,
Federico Carrizo,ARG,"FW,MF",22.0,18.3,3,0,0.0,,,,,,,,,0.0,2014,,,,,
Jonathan Calleri,ARG,FW,20.0,18.0,5,0,0.0,,,,,,,,,0.0,2014,,,,,
Nicolás Colazo,ARG,"DF,MF",23.0,17.1,1,0,0.0,,,,,,,,,0.0,2014,,,,,
Marcelo Meli,ARG,MF,21.0,16.3,7,0,0.0,,,,,,,,,0.0,2014,,,,,
Emmanuel Gigliotti,ARG,FW,26.0,15.4,2,0,0.0,,,,,,,,,0.0,2014,,,,,
Mariano Echeverría,ARG,DF,32.0,15.4,4,0,0.0,,,,,,,,,0.0,2014,,,,,
Cristian Erbes,ARG,MF,24.0,15.1,6,0,0.0,,,,,,,,,0.0,2014,,,,,
Andrés Chávez,ARG,"FW,MF",22.0,14.5,4,0,0.0,,,,,,,,,0.0,2014,,,,,
Fernando Gago,ARG,MF,27.0,14.4,1,1,0.0,,,,,,,,,0.0,2014,,,,,
Cata Díaz,ARG,DF,34.0,11.7,4,1,1.0,,,,,,,,,0.0,2014,,,,,
Gonzalo Castellani,ARG,MF,26.0,10.4,1,1,0.0,,,,,,,,,0.0,2014,,,,,
José Pedro Fuenzalida,CHI,"DF,FW",28.0,10.4,4,0,0.0,,,,,,,,,0.0,2014,,,,,
Emanuel Insúa,ARG,DF,22.0,9.7,4,1,0.0,,,,,,,,,0.0,2014,,,,,
Lisandro Magallán,ARG,DF,20.0,9.4,1,0,0.0,,,,,,,,,1.0,2014,,,,,
Juan Forlín,ARG,"DF,MF",26.0,9.3,3,0,0.0,,,,,,,,,0.0,2014,,,,,
