player,nation,position,age,nineties,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,passes_completed_short,passes_attempted_short,pass_pct_short,passes_completed_medium,passes_attempted_medium,pass_pct_medium,passes_completed_long,passes_attempted_long,pass_pct_long,ast,expected_assisted_goals,expected_assists,assists_minus_xag,key_passes,passes_into_final_third,passes_into_pen_area,crosses_into_pen_area,progressive_passes,fbref_comp_id,season
Cristian Pavón,ARG,FW,20.0,28.6,724.0,1054.0,68.7,9788.0,2580.0,435.0,550.0,79.1,179.0,272.0,65.8,47.0,98.0,48.0,9,0.0,0.0,9.0,46.0,37.0,37.0,18.0,70.0,21.0,2016
Pablo Pérez,ARG,MF,30.0,25.5,1289.0,1631.0,79.0,21532.0,6880.0,631.0,731.0,86.3,468.0,568.0,82.4,129.0,199.0,64.8,3,0.0,0.0,3.0,40.0,135.0,20.0,5.0,178.0,21.0,2016
Gino Peruzzi,ARG,DF,24.0,24.1,1037.0,1305.0,79.5,13691.0,6320.0,673.0,760.0,88.6,305.0,396.0,77.0,27.0,66.0,40.9,3,0.0,0.0,3.0,19.0,54.0,21.0,11.0,84.0,21.0,2016
Santiago Vergini,ARG,DF,27.0,24.7,1047.0,1226.0,85.4,19712.0,6537.0,382.0,413.0,92.5,536.0,582.0,92.1,108.0,192.0,56.3,0,0.0,0.0,0.0,3.0,31.0,2.0,0.0,53.0,21.0,2016
Darío Benedetto,ARG,FW,26.0,20.5,276.0,399.0,69.2,3862.0,729.0,159.0,205.0,77.6,77.0,109.0,70.6,15.0,33.0,45.5,3,0.0,0.0,3.0,20.0,22.0,15.0,2.0,42.0,21.0,2016
Rodrigo Bentancur,URU,MF,19.0,20.4,841.0,1025.0,82.0,13228.0,3760.0,436.0,495.0,88.1,281.0,339.0,82.9,75.0,99.0,75.8,3,0.0,0.0,3.0,23.0,87.0,13.0,1.0,113.0,21.0,2016
Juan Manuel Insaurralde,ARG,DF,31.0,18.5,784.0,933.0,84.0,16513.0,5853.0,242.0,265.0,91.3,387.0,422.0,91.7,139.0,219.0,63.5,0,0.0,0.0,0.0,3.0,22.0,2.0,1.0,52.0,21.0,2016
Frank Fabra,COL,DF,25.0,17.9,621.0,810.0,76.7,9601.0,3638.0,331.0,371.0,89.2,221.0,299.0,73.9,44.0,100.0,44.0,3,0.0,0.0,3.0,19.0,32.0,6.0,5.0,49.0,21.0,2016
Ricardo Centurión,ARG,"FW,MF",23.0,15.0,365.0,498.0,73.3,4670.0,1747.0,220.0,268.0,82.1,90.0,126.0,71.4,15.0,35.0,42.9,1,0.0,0.0,1.0,19.0,44.0,21.0,6.0,64.0,21.0,2016
Agustín Rossi,ARG,GK,20.0,16.0,371.0,528.0,70.3,10797.0,8162.0,41.0,41.0,100.0,212.0,217.0,97.7,117.0,268.0,43.7,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,21.0,2016
Fernando Gago,ARG,MF,30.0,15.9,946.0,1187.0,79.7,16840.0,6601.0,431.0,489.0,88.1,382.0,457.0,83.6,105.0,188.0,55.9,2,0.0,0.0,2.0,28.0,114.0,28.0,2.0,148.0,21.0,2016
Fernando Tobio,ARG,DF,26.0,12.6,480.0,589.0,81.5,9095.0,3512.0,193.0,217.0,88.9,208.0,235.0,88.5,69.0,119.0,58.0,0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,21.0,21.0,2016
Jonathan Silva,ARG,DF,22.0,12.1,489.0,684.0,71.5,7804.0,4033.0,256.0,288.0,88.9,179.0,258.0,69.4,36.0,91.0,39.6,3,0.0,0.0,3.0,14.0,31.0,9.0,7.0,48.0,21.0,2016
