player,nation,position,age,nineties,passes_attempted,passes_live,passes_dead,passes_from_free_kicks,through_balls,switches,crosses,throw_ins,corner_kicks,corners_inswinging,corners_outswinging,corners_straight,passes_completed,offsides_passes,passes_blocked,fbref_comp_id,season
Cristian Pavón,ARG,FW,20.0,28.6,1054.0,997.0,50.0,4.0,0.0,6.0,127,7.0,39.0,10.0,11.0,0.0,724.0,7.0,35.0,21.0,2016
Pablo Pérez,ARG,MF,30.0,25.5,1631.0,1500.0,124.0,59.0,3.0,18.0,60,4.0,61.0,14.0,22.0,1.0,1289.0,7.0,52.0,21.0,2016
Gino Peruzzi,ARG,DF,24.0,24.1,1305.0,974.0,331.0,16.0,0.0,0.0,51,315.0,0.0,0.0,0.0,0.0,1037.0,0.0,39.0,21.0,2016
Santiago Vergini,ARG,DF,27.0,24.7,1226.0,1192.0,32.0,29.0,0.0,6.0,0,3.0,0.0,0.0,0.0,0.0,1047.0,2.0,12.0,21.0,2016
Darío Benedetto,ARG,FW,26.0,20.5,399.0,363.0,35.0,1.0,0.0,6.0,9,0.0,0.0,0.0,0.0,0.0,276.0,1.0,11.0,21.0,2016
Rodrigo Bentancur,URU,MF,19.0,20.4,1025.0,1013.0,7.0,5.0,2.0,9.0,5,2.0,0.0,0.0,0.0,0.0,841.0,5.0,30.0,21.0,2016
Juan Manuel Insaurralde,ARG,DF,31.0,18.5,933.0,892.0,41.0,37.0,0.0,16.0,1,4.0,0.0,0.0,0.0,0.0,784.0,0.0,8.0,21.0,2016
Frank Fabra,COL,DF,25.0,17.9,810.0,624.0,186.0,19.0,0.0,3.0,34,167.0,0.0,0.0,0.0,0.0,621.0,0.0,10.0,21.0,2016
Ricardo Centurión,ARG,"FW,MF",23.0,15.0,498.0,473.0,20.0,5.0,2.0,3.0,29,5.0,9.0,3.0,1.0,0.0,365.0,5.0,17.0,21.0,2016
Agustín Rossi,ARG,GK,20.0,16.0,528.0,334.0,194.0,51.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,1.0,21.0,2016
Fernando Gago,ARG,MF,30.0,15.9,1187.0,1063.0,119.0,112.0,8.0,9.0,25,7.0,0.0,0.0,0.0,0.0,946.0,5.0,14.0,21.0,2016
Fernando Tobio,ARG,DF,26.0,12.6,589.0,568.0,20.0,15.0,0.0,2.0,0,5.0,0.0,0.0,0.0,0.0,480.0,1.0,5.0,21.0,2016
Jonathan Silva,ARG,DF,22.0,12.1,684.0,504.0,179.0,32.0,0.0,2.0,57,141.0,6.0,0.0,6.0,0.0,489.0,1.0,20.0,21.0,2016
Guillermo Sara,ARG,GK,28.0,12.0,344.0,188.0,156.0,31.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,1.0,21.0,2016
Wílmar Barrios,COL,MF,22.0,12.0,688.0,669.0,19.0,19.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,583.0,0.0,23.0,21.0,2016
Carlos Tevez,ARG,"MF,FW",32.0,10.2,482.0,462.0,16.0,8.0,8.0,11.0,14,1.0,1.0,1.0,0.0,0.0,388.0,4.0,15.0,21.0,2016
Leonardo Jara,ARG,"DF,MF",25.0,7.4,327.0,266.0,60.0,5.0,1.0,0.0,19,54.0,1.0,0.0,1.0,0.0,225.0,1.0,5.0,21.0,2016
Walter Bou,ARG,FW,22.0,9.5,263.0,249.0,13.0,0.0,1.0,3.0,6,0.0,0.0,0.0,0.0,0.0,194.0,1.0,11.0,21.0,2016
Lisandro Magallán,ARG,DF,22.0,4.7,187.0,178.0,8.0,8.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,161.0,1.0,2.0,21.0,2016
Fernando Zuqui,ARG,FW,24.0,4.8,224.0,216.0,8.0,0.0,0.0,0.0,13,2.0,6.0,3.0,2.0,0.0,180.0,0.0,13.0,21.0,2016
Sebastián Pérez Cardona,COL,MF,23.0,4.7,325.0,308.0,16.0,15.0,0.0,2.0,1,0.0,1.0,0.0,0.0,0.0,290.0,1.0,3.0,21.0,2016
Oscar Benítez,ARG,FW,23.0,3.5,83.0,82.0,1.0,0.0,0.0,0.0,6,1.0,0.0,0.0,0.0,0.0,54.0,0.0,6.0,21.0,2016
Andrés Cubas,PAR,MF,20.0,2.3,95.0,91.0,4.0,4.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,78.0,0.0,4.0,21.0,2016
Axel Werner,ARG,GK,20.0,2.0,52.0,29.0,23.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,21.0,2016
Nazareno Solís,ARG,FW,22.0,1.2,50.0,46.0,4.0,4.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,35.0,0.0,4.0,21.0,2016
Gonzalo Maroni,ARG,"MF,FW",17.0,1.0,20.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,21.0,2016
Federico Carrizo,ARG,"FW,MF",25.0,0.8,28.0,28.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,21.0,2016
Gonzalo Castellani,ARG,FW,28.0,0.7,32.0,27.0,5.0,2.0,0.0,0.0,4,0.0,3.0,0.0,3.0,0.0,26.0,0.0,0.0,21.0,2016
Agustín Rossi,ARG,GK,21.0,26.0,743.0,426.0,315.0,68.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,511.0,2.0,0.0,21.0,2017
Cristian Pavón,ARG,FW,21.0,25.2,1092.0,1029.0,59.0,11.0,1.0,10.0,127,12.0,35.0,6.0,16.0,0.0,739.0,4.0,31.0,21.0,2017
Lisandro Magallán,ARG,DF,23.0,25.0,1341.0,1270.0,67.0,62.0,0.0,9.0,0,5.0,0.0,0.0,0.0,0.0,1113.0,4.0,11.0,21.0,2017
Wílmar Barrios,COL,MF,23.0,22.1,1173.0,1124.0,48.0,47.0,1.0,5.0,1,1.0,0.0,0.0,0.0,0.0,988.0,1.0,14.0,21.0,2017
Frank Fabra,COL,DF,26.0,21.5,1129.0,892.0,233.0,17.0,1.0,4.0,29,216.0,0.0,0.0,0.0,0.0,908.0,4.0,22.0,21.0,2017
Nahitan Nández,URU,MF,21.0,21.0,924.0,903.0,19.0,7.0,3.0,7.0,26,12.0,0.0,0.0,0.0,0.0,737.0,2.0,28.0,21.0,2017
Leonardo Jara,ARG,DF,26.0,19.1,1037.0,837.0,198.0,12.0,1.0,6.0,33,185.0,1.0,0.0,1.0,0.0,807.0,2.0,19.0,21.0,2017
Paolo Goltz,ARG,DF,32.0,17.5,901.0,860.0,40.0,31.0,0.0,10.0,1,9.0,0.0,0.0,0.0,0.0,796.0,1.0,2.0,21.0,2017
Edwin Cardona,COL,"FW,MF",24.0,17.5,839.0,704.0,131.0,49.0,7.0,20.0,87,13.0,69.0,14.0,32.0,0.0,597.0,4.0,20.0,21.0,2017
Pablo Pérez,ARG,MF,31.0,16.1,1067.0,1026.0,36.0,29.0,4.0,17.0,9,5.0,2.0,0.0,1.0,0.0,846.0,5.0,20.0,21.0,2017
Carlos Tevez,ARG,"MF,FW",33.0,9.0,342.0,327.0,11.0,3.0,5.0,6.0,6,0.0,2.0,0.0,1.0,0.0,287.0,4.0,8.0,21.0,2017
Darío Benedetto,ARG,FW,27.0,8.3,186.0,167.0,18.0,2.0,2.0,3.0,2,3.0,0.0,0.0,0.0,0.0,143.0,1.0,2.0,21.0,2017
Emanuel Reynoso,ARG,"MF,FW",21.0,8.0,482.0,455.0,25.0,8.0,4.0,4.0,25,2.0,15.0,9.0,2.0,0.0,375.0,2.0,11.0,21.0,2017
Santiago Vergini,ARG,DF,28.0,7.9,369.0,341.0,28.0,26.0,0.0,7.0,0,2.0,0.0,0.0,0.0,0.0,294.0,0.0,5.0,21.0,2017
Walter Bou,ARG,FW,23.0,6.4,143.0,129.0,13.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,106.0,1.0,5.0,21.0,2017
Fernando Gago,ARG,MF,31.0,5.8,452.0,417.0,32.0,24.0,2.0,3.0,4,8.0,0.0,0.0,0.0,0.0,361.0,3.0,6.0,21.0,2017
Ramón Ábila,ARG,FW,27.0,6.0,132.0,116.0,15.0,0.0,2.0,0.0,5,1.0,0.0,0.0,0.0,0.0,81.0,1.0,7.0,21.0,2017
Emmanuel Más,ARG,DF,28.0,5.4,248.0,199.0,49.0,2.0,0.0,0.0,9,47.0,0.0,0.0,0.0,0.0,189.0,0.0,5.0,21.0,2017
Julio Buffarini,ARG,"DF,MF",28.0,5.0,248.0,194.0,54.0,4.0,0.0,0.0,21,49.0,1.0,0.0,1.0,0.0,187.0,0.0,5.0,21.0,2017
