player,nation,position,age,matches_played,minutes,minutes_per_match,minutes_pct,nineties,starts,mn_start,compl,subs,mn_sub,unsub,ppm,ong,onga,goals_plus_minus_on_pitch,goals_plus_minus_on_pitch_per90,on_off,season,onxg,onxga,xg_,xg_90,on_off_1,fbref_comp_id
Agustín Orión,ARG,GK,32.0,26.0,2370.0,91.0,96.3,26.3,26,94.0,8.0,0,,0.0,1.75,10.0,4.0,6.0,0.72,,2014,,,,,,
Leandro Marín,ARG,DF,22.0,20.0,1782.0,89.0,72.4,19.8,20,90.0,7.0,0,,1.0,1.57,9.0,4.0,5.0,0.71,-0.04,2014,,,,,,
Federico Carrizo,ARG,"FW,MF",22.0,24.0,1644.0,69.0,66.8,18.3,22,72.0,1.0,2,14.0,3.0,2.0,1.0,2.0,-1.0,-0.37,-1.61,2014,,,,,,
Jonathan Calleri,ARG,FW,20.0,22.0,1621.0,74.0,65.9,18.0,18,85.0,4.0,4,,0.0,1.75,6.0,4.0,2.0,0.26,-4.88,2014,,,,,,
Nicolás Colazo,ARG,"DF,MF",23.0,18.0,1538.0,85.0,62.5,17.1,17,91.0,7.0,1,,0.0,1.75,10.0,4.0,6.0,0.74,0.74,2014,,,,,,
Marcelo Meli,ARG,MF,21.0,18.0,1466.0,81.0,59.6,16.3,16,87.0,6.0,2,,0.0,1.75,9.0,4.0,5.0,0.65,-1.02,2014,,,,,,
Emmanuel Gigliotti,ARG,FW,26.0,23.0,1388.0,60.0,56.4,15.4,14,96.0,1.0,9,22.0,1.0,1.86,4.0,1.0,3.0,1.17,0.65,2014,,,,,,
Mariano Echeverría,ARG,DF,32.0,16.0,1385.0,87.0,56.3,15.4,16,90.0,3.0,0,,3.0,1.33,4.0,2.0,2.0,0.67,-0.08,2014,,,,,,
Cristian Erbes,ARG,MF,24.0,16.0,1358.0,85.0,55.2,15.1,16,87.0,4.0,0,,0.0,1.33,7.0,4.0,3.0,0.52,-0.67,2014,,,,,,
Andrés Chávez,ARG,"FW,MF",22.0,19.0,1304.0,69.0,53.0,14.5,13,91.0,4.0,6,22.0,0.0,1.75,10.0,2.0,8.0,1.09,3.07,2014,,,,,,
Fernando Gago,ARG,MF,27.0,16.0,1297.0,81.0,52.7,14.4,16,87.0,5.0,0,,0.0,2.17,9.0,2.0,7.0,1.21,1.6,2014,,,,,,
Cata Díaz,ARG,DF,34.0,14.0,1053.0,75.0,42.8,11.7,14,69.0,3.0,0,,0.0,1.25,4.0,1.0,3.0,0.99,0.42,2014,,,,,,
Gonzalo Castellani,ARG,MF,26.0,17.0,940.0,55.0,38.2,10.4,10,71.0,0.0,7,4.0,3.0,0.33,1.0,1.0,0.0,0.0,-0.89,2014,,,,,,
José Pedro Fuenzalida,CHI,"DF,FW",28.0,18.0,938.0,52.0,38.1,10.4,10,89.0,2.0,8,32.0,0.0,2.17,6.0,1.0,5.0,1.24,1.01,2014,,,,,,
