player,nation,position,age,nineties,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,live,take_ons_attempted,take_ons_successful,take_ons_success_pct,take_ons_tackled,take_ons_tackled_pct,carries,carry_distance_total,carry_distance_progressive,prgc,carries_into_final_third,carries_into_pen_area,miscontrols,dispossessed,passes_received,progressive_passes_received,fbref_comp_id,season
Cristian Pavón,ARG,FW,20.0,28.6,1430.0,5.0,105.0,585.0,762.0,109.0,1430.0,121.0,59.0,48.8,62.0,51.2,981.0,6503.0,3501.0,144.0,100.0,53.0,98.0,43.0,1060.0,314.0,21.0,2016
Pablo Pérez,ARG,MF,30.0,25.5,1922.0,32.0,270.0,1235.0,435.0,26.0,1922.0,47.0,28.0,59.6,19.0,40.4,1255.0,4812.0,2552.0,35.0,42.0,3.0,64.0,45.0,1318.0,73.0,21.0,2016
Gino Peruzzi,ARG,DF,24.0,24.1,1588.0,71.0,426.0,745.0,437.0,35.0,1588.0,25.0,11.0,44.0,14.0,56.0,787.0,2973.0,1782.0,36.0,34.0,8.0,48.0,23.0,775.0,104.0,21.0,2016
Santiago Vergini,ARG,DF,27.0,24.7,1462.0,114.0,760.0,679.0,28.0,6.0,1462.0,12.0,10.0,83.3,2.0,16.7,938.0,5262.0,3653.0,10.0,6.0,0.0,13.0,8.0,932.0,2.0,21.0,2016
Darío Benedetto,ARG,FW,26.0,20.5,623.0,14.0,23.0,277.0,326.0,93.0,622.0,25.0,16.0,64.0,9.0,36.0,419.0,1672.0,488.0,16.0,20.0,6.0,63.0,36.0,485.0,112.0,21.0,2016
Rodrigo Bentancur,URU,MF,19.0,20.4,1294.0,30.0,218.0,852.0,249.0,22.0,1294.0,49.0,19.0,38.8,30.0,61.2,850.0,4831.0,2620.0,54.0,58.0,6.0,36.0,24.0,832.0,31.0,21.0,2016
Juan Manuel Insaurralde,ARG,DF,31.0,18.5,1099.0,106.0,622.0,466.0,23.0,17.0,1099.0,5.0,5.0,100.0,0.0,0.0,688.0,3479.0,2276.0,13.0,4.0,0.0,12.0,2.0,663.0,1.0,21.0,2016
Frank Fabra,COL,DF,25.0,17.9,1005.0,31.0,302.0,487.0,233.0,33.0,1005.0,48.0,28.0,58.3,20.0,41.7,543.0,2765.0,1625.0,43.0,31.0,11.0,31.0,16.0,515.0,56.0,21.0,2016
Ricardo Centurión,ARG,"FW,MF",23.0,15.0,757.0,3.0,44.0,355.0,372.0,78.0,757.0,99.0,41.0,41.4,58.0,58.6,635.0,3814.0,1964.0,67.0,60.0,19.0,79.0,62.0,645.0,110.0,21.0,2016
Agustín Rossi,ARG,GK,20.0,16.0,547.0,482.0,545.0,2.0,0.0,0.0,547.0,0.0,0.0,,0.0,,297.0,1822.0,1532.0,0.0,0.0,0.0,3.0,0.0,174.0,0.0,21.0,2016
Fernando Gago,ARG,MF,30.0,15.9,1334.0,13.0,250.0,951.0,146.0,3.0,1333.0,11.0,10.0,90.9,1.0,9.1,833.0,3504.0,2066.0,30.0,14.0,1.0,18.0,13.0,878.0,13.0,21.0,2016
Fernando Tobio,ARG,DF,26.0,12.6,704.0,75.0,449.0,244.0,15.0,6.0,704.0,3.0,3.0,100.0,0.0,0.0,418.0,2250.0,1422.0,4.0,4.0,0.0,9.0,2.0,427.0,0.0,21.0,2016
Jonathan Silva,ARG,DF,22.0,12.1,817.0,14.0,224.0,390.0,212.0,10.0,817.0,21.0,9.0,42.9,12.0,57.1,410.0,2400.0,1471.0,43.0,33.0,1.0,17.0,10.0,424.0,56.0,21.0,2016
Guillermo Sara,ARG,GK,28.0,12.0,358.0,330.0,358.0,0.0,0.0,0.0,358.0,0.0,0.0,,0.0,,178.0,1187.0,795.0,0.0,1.0,0.0,0.0,0.0,101.0,0.0,21.0,2016
Wílmar Barrios,COL,MF,22.0,12.0,833.0,25.0,252.0,537.0,53.0,6.0,833.0,17.0,14.0,82.4,3.0,17.6,498.0,2303.0,1232.0,16.0,10.0,2.0,17.0,4.0,498.0,10.0,21.0,2016
Carlos Tevez,ARG,"MF,FW",32.0,10.2,602.0,0.0,18.0,305.0,284.0,52.0,602.0,37.0,18.0,48.6,19.0,51.4,496.0,2968.0,1718.0,55.0,49.0,16.0,35.0,15.0,528.0,91.0,21.0,2016
Leonardo Jara,ARG,"DF,MF",25.0,7.4,400.0,21.0,110.0,190.0,105.0,8.0,400.0,8.0,4.0,50.0,4.0,50.0,186.0,695.0,355.0,8.0,13.0,0.0,11.0,10.0,211.0,37.0,21.0,2016
Walter Bou,ARG,FW,22.0,9.5,373.0,5.0,14.0,198.0,166.0,38.0,373.0,13.0,7.0,53.8,6.0,46.2,262.0,1192.0,490.0,19.0,17.0,8.0,48.0,28.0,287.0,57.0,21.0,2016
Lisandro Magallán,ARG,DF,22.0,4.7,247.0,25.0,178.0,65.0,4.0,2.0,247.0,0.0,0.0,,0.0,,134.0,514.0,290.0,1.0,1.0,1.0,3.0,0.0,134.0,1.0,21.0,2016
Fernando Zuqui,ARG,FW,24.0,4.8,302.0,2.0,27.0,148.0,134.0,13.0,302.0,13.0,6.0,46.2,7.0,53.8,229.0,1186.0,550.0,16.0,10.0,5.0,25.0,16.0,232.0,41.0,21.0,2016
Sebastián Pérez Cardona,COL,MF,23.0,4.7,376.0,10.0,107.0,246.0,27.0,1.0,376.0,1.0,1.0,100.0,0.0,0.0,237.0,927.0,477.0,0.0,1.0,0.0,6.0,2.0,250.0,1.0,21.0,2016
Oscar Benítez,ARG,FW,23.0,3.5,139.0,2.0,15.0,65.0,62.0,14.0,139.0,15.0,6.0,40.0,9.0,60.0,94.0,615.0,236.0,10.0,9.0,3.0,18.0,11.0,94.0,20.0,21.0,2016
Andrés Cubas,PAR,MF,20.0,2.3,113.0,2.0,32.0,65.0,16.0,0.0,113.0,2.0,1.0,50.0,1.0,50.0,59.0,202.0,92.0,1.0,1.0,0.0,4.0,3.0,57.0,0.0,21.0,2016
Axel Werner,ARG,GK,20.0,2.0,68.0,60.0,68.0,0.0,0.0,0.0,68.0,0.0,0.0,,0.0,,27.0,179.0,125.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,21.0,2016
Nazareno Solís,ARG,FW,22.0,1.2,69.0,0.0,8.0,26.0,37.0,6.0,69.0,3.0,0.0,0.0,3.0,100.0,46.0,267.0,168.0,9.0,5.0,0.0,4.0,0.0,50.0,13.0,21.0,2016
Gonzalo Maroni,ARG,"MF,FW",17.0,1.0,32.0,0.0,2.0,19.0,14.0,5.0,32.0,6.0,4.0,66.7,2.0,33.3,24.0,195.0,120.0,5.0,3.0,2.0,5.0,3.0,24.0,3.0,21.0,2016
Federico Carrizo,ARG,"FW,MF",25.0,0.8,38.0,0.0,3.0,15.0,21.0,2.0,38.0,4.0,1.0,25.0,3.0,75.0,27.0,256.0,98.0,4.0,2.0,2.0,3.0,1.0,26.0,6.0,21.0,2016
Gonzalo Castellani,ARG,FW,28.0,0.7,40.0,0.0,3.0,27.0,12.0,1.0,40.0,3.0,3.0,100.0,0.0,0.0,29.0,202.0,68.0,1.0,2.0,0.0,1.0,3.0,26.0,2.0,21.0,2016
Agustín Rossi,ARG,GK,21.0,26.0,782.0,715.0,779.0,4.0,0.0,0.0,782.0,0.0,0.0,,0.0,,335.0,2223.0,1795.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,21.0,2017
Cristian Pavón,ARG,FW,21.0,25.2,1380.0,2.0,87.0,588.0,734.0,106.0,1380.0,128.0,66.0,51.6,62.0,48.4,905.0,6191.0,3019.0,111.0,72.0,46.0,51.0,52.0,1074.0,307.0,21.0,2017
Lisandro Magallán,ARG,DF,23.0,25.0,1625.0,116.0,986.0,622.0,23.0,17.0,1625.0,2.0,0.0,0.0,2.0,100.0,816.0,3199.0,1761.0,2.0,0.0,0.0,15.0,2.0,953.0,1.0,21.0,2017
Wílmar Barrios,COL,MF,23.0,22.1,1437.0,60.0,474.0,885.0,95.0,5.0,1437.0,25.0,21.0,84.0,3.0,12.0,714.0,3780.0,1795.0,14.0,19.0,2.0,18.0,17.0,787.0,4.0,21.0,2017
Frank Fabra,COL,DF,26.0,21.5,1380.0,57.0,428.0,698.0,270.0,27.0,1380.0,62.0,43.0,69.4,19.0,30.6,678.0,3279.0,1979.0,45.0,34.0,17.0,36.0,18.0,733.0,64.0,21.0,2017
Nahitan Nández,URU,MF,21.0,21.0,1182.0,14.0,166.0,722.0,319.0,57.0,1182.0,48.0,26.0,54.2,22.0,45.8,748.0,4144.0,2155.0,54.0,36.0,9.0,46.0,36.0,831.0,98.0,21.0,2017
Leonardo Jara,ARG,DF,26.0,19.1,1245.0,42.0,322.0,680.0,251.0,14.0,1245.0,32.0,22.0,68.8,10.0,31.3,597.0,2571.0,1493.0,31.0,22.0,2.0,13.0,18.0,695.0,63.0,21.0,2017
Paolo Goltz,ARG,DF,32.0,17.5,1083.0,90.0,630.0,440.0,16.0,9.0,1083.0,4.0,3.0,75.0,1.0,25.0,599.0,2468.0,1466.0,0.0,1.0,0.0,5.0,1.0,693.0,5.0,21.0,2017
Edwin Cardona,COL,"FW,MF",24.0,17.5,1067.0,6.0,69.0,565.0,450.0,43.0,1066.0,61.0,49.0,80.3,12.0,19.7,663.0,4507.0,2104.0,67.0,66.0,14.0,59.0,39.0,783.0,115.0,21.0,2017
