player,nation,position,age,nineties,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,penalty_goals,penalty_attempts,season,shots_from_free_kicks,xG,npxG,npxg_per_shot,goals_minus_xg,npg_minus_npxg,fbref_comp_id
Agustín Orión,ARG,GK,32,26.3,0,,0,,,0.0,,,,0,0,2014,,,,,,,
Leandro Marín,ARG,DF,22,19.8,2,,3,,,0.23,,0.33,,0,0,2014,,,,,,,
Federico Carrizo,ARG,"FW,MF",22,18.3,1,,9,,,0.58,,0.11,,0,0,2014,,,,,,,
Jonathan Calleri,ARG,FW,20,18.0,8,,18,,,1.72,,0.33,,0,0,2014,,,,,,,
Nicolás Colazo,ARG,"DF,MF",23,17.1,0,,1,,,0.11,,0.0,,0,0,2014,,,,,,,
Marcelo Meli,ARG,MF,21,16.3,1,,4,,,0.47,,0.25,,0,0,2014,,,,,,,
Emmanuel Gigliotti,ARG,FW,26,15.4,7,,13,,,1.01,,0.38,,0,2,2014,,,,,,,
Mariano Echeverría,ARG,DF,32,15.4,2,,5,,,0.4,,0.4,,0,0,2014,,,,,,,
Cristian Erbes,ARG,MF,24,15.1,0,,5,,,0.54,,0.0,,0,0,2014,,,,,,,
Andrés Chávez,ARG,"FW,MF",22,14.5,6,,10,,,1.4,,0.2,,0,0,2014,,,,,,,
Fernando Gago,ARG,MF,27,14.4,1,,6,,,0.69,,0.17,,0,0,2014,,,,,,,
Cata Díaz,ARG,DF,34,11.7,1,,1,,,0.12,,1.0,,0,0,2014,,,,,,,
Gonzalo Castellani,ARG,MF,26,10.4,0,,6,,,0.68,,0.0,,0,0,2014,,,,,,,
José Pedro Fuenzalida,CHI,"DF,FW",28,10.4,1,,2,,,0.31,,0.0,,0,0,2014,,,,,,,
Emanuel Insúa,ARG,DF,22,9.7,1,,4,,,0.44,,0.25,,0,0,2014,,,,,,,
Lisandro Magallán,ARG,DF,20,9.4,1,,2,,,0.28,,0.5,,0,0,2014,,,,,,,
Juan Forlín,ARG,"DF,MF",26,9.3,0,,0,,,0.0,,,,0,0,2014,,,,,,,
Juan Manuel Martínez,ARG,"FW,MF",28,7.8,3,,4,,,0.73,,0.75,,0,0,2014,,,,,,,
Andrés Cubas,PAR,MF,17,7.5,0,,1,,,0.16,,0.0,,0,0,2014,,,,,,,
Claudio Pérez,ARG,DF,28,7.3,0,,1,,,0.25,,0.0,,0,0,2014,,,,,,,
Unknown,nan,Unknown,,,,,,,,,,,,,,2014,,,,,,,
Hernán Grana,ARG,DF,28,5.0,0,,1,,,0.2,,0.0,,0,0,2014,,,,,,,
Luciano Acosta,ARG,"FW,MF",19,5.0,0,,2,,,0.6,,0.0,,0,0,2014,,,,,,,
Federico Bravo,ARG,"DF,MF",20,4.6,0,,2,,,0.43,,0.0,,0,0,2014,,,,,,,
Nahuel Zárate,ARG,DF,21,4.0,0,,0,,,0.0,,,,0,0,2014,,,,,,,
Franco Cristaldo,ARG,"FW,MF",17,1.6,0,,0,,,0.0,,,,0,0,2014,,,,,,,
Pablo Ledesma,ARG,MF,29,1.2,0,,1,,,0.86,,0.0,,0,0,2014,,,,,,,
Juan Cruz Komar,ARG,DF,17,1.0,0,,0,,,0.0,,,,0,0,2014,,,,,,,
Emanuel Trípodi,ARG,GK,33,1.0,0,,0,,,0.0,,,,0,0,2014,,,,,,,
Leonardo Suárez,ARG,"FW,MF",17,0.6,0,,0,,,0.0,,,,0,0,2014,,,,,,,
Guillermo Burdisso,ARG,DF,25,0.5,0,,0,,,0.0,,,,0,0,2014,,,,,,,
Joel Acosta,ARG,"FW,MF",23,0.3,0,,1,,,3.91,,0.0,,0,0,2014,,,,,,,
Cata Díaz,ARG,DF,35,29.7,2,,,,,,,,,0,0,2015,,,,,,,
Agustín Orión,ARG,GK,33,26.6,0,,,,,,,,,0,0,2015,,,,,,,
Jonathan Calleri,ARG,FW,21,23.6,14,,,,,,,,,0,0,2015,,,,,,,
Nicolás Colazo,ARG,"DF,MF",24,23.2,2,,,,,,,,,0,0,2015,,,,,,,
Marcelo Meli,ARG,MF,22,22.1,4,,,,,,,,,0,0,2015,,,,,,,
Gino Peruzzi,ARG,DF,22,21.4,1,,,,,,,,,0,0,2015,,,,,,,
Nicolás Lodeiro,URU,"FW,MF",25,21.3,4,,,,,,,,,1,1,2015,,,,,,,
Cristian Erbes,ARG,MF,25,20.4,1,,,,,,,,,0,0,2015,,,,,,,
Fabián Monzón,ARG,DF,27,18.8,2,,,,,,,,,0,0,2015,,,,,,,
Fernando Gago,ARG,MF,28,16.8,2,,,,,,,,,1,1,2015,,,,,,,
Pablo Pérez,ARG,MF,29,16.0,2,,,,,,,,,0,0,2015,,,,,,,
Marco Torsiglieri,ARG,"DF,MF",27,15.1,0,,,,,,,,,0,0,2015,,,,,,,
Sebastián Palacios,ARG,"FW,MF",23,13.0,5,,,,,,,,,0,0,2015,,,,,,,
Carlos Tevez,ARG,"FW,MF",30,11.9,5,,,,,,,,,1,2,2015,,,,,,,
Federico Carrizo,ARG,"FW,MF",23,11.7,3,,,,,,,,,0,0,2015,,,,,,,
Dani Osvaldo,ITA,FW,29,11.5,5,,,,,,,,,2,2,2015,,,,,,,
Guillermo Sara,ARG,GK,27,11.3,0,,,,,,,,,0,0,2015,,,,,,,
Andrés Chávez,ARG,"FW,MF",23,10.9,5,,,,,,,,,1,1,2015,,,,,,,
Rodrigo Bentancur,URU,MF,17,10.3,0,,,,,,,,,0,0,2015,,,,,,,
Fernando Tobio,ARG,DF,25,9.9,0,,,,,,,,,0,0,2015,,,,,,,
Unknown,nan,Unknown,,,,,,,,,,,,,,2015,,,,,,,
Leandro Marín,ARG,DF,23,9.6,2,,,,,,,,,0,0,2015,,,,,,,
Andrés Cubas,PAR,MF,18,9.5,0,,,,,,,,,0,0,2015,,,,,,,
Alexis Rolín,URU,DF,25,8.7,0,,,,,,,,,0,0,2015,,,,,,,
Guillermo Burdisso,ARG,DF,26,8.4,1,,,,,,,,,0,0,2015,,,,,,,
Juan Manuel Martínez,ARG,"FW,MF",29,7.2,4,,,,,,,,,1,1,2015,,,,,,,
José Pedro Fuenzalida,CHI,"DF,FW",29,7.2,0,,,,,,,,,0,0,2015,,,,,,,
Franco Cristaldo,ARG,"FW,MF",18,5.1,1,,,,,,,,,0,0,2015,,,,,,,
Cristian Pavón,ARG,"FW,MF",19,4.4,1,,,,,,,,,0,0,2015,,,,,,,
Juan Cruz Komar,ARG,DF,18,3.8,1,,,,,,,,,0,0,2015,,,,,,,
Gonzalo Castellani,ARG,MF,27,2.0,0,,,,,,,,,0,0,2015,,,,,,,
Federico Bravo,ARG,"DF,MF",21,1.0,0,,,,,,,,,0,0,2015,,,,,,,
Lisandro Magallán,ARG,DF,21,1.0,0,,,,,,,,,0,0,2015,,,,,,,
Emmanuel Gigliotti,ARG,FW,27,0.7,0,,,,,,,,,0,0,2015,,,,,,,
Guido Vadalá,ARG,"FW,MF",17,0.3,0,,,,,,,,,0,0,2015,,,,,,,
Cristian Pavón,ARG,FW,20,28.6,9,82,22,26.8,2.87,0.77,0.11,0.41,22.8,0,0,2016,7.0,0.0,0.0,0.0,9.0,9.0,21.0
