player,nation,position,age,matches_played,starts,minutes,nineties,goals,assists,goals_plus_assists,non_pen_goals,pens_made,pens_att,yellow_cards,red_cards,goals_per90,assists_per90,goals_plus_assists_per90,non_pen_goals_per90,g_a_pk,season,xG,npxG,expected_assists,npxg_plus_xag,progressive_carries,progressive_passes,progressive_passes_received,xg_per90,xag_per90,xg_plus_xag,npxg_per90,npxg_plus_xag_per90,fbref_comp_id
Agustín Orión,ARG,GK,32.0,26.0,26,2370.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Leandro Marín,ARG,DF,22.0,20.0,20,1782.0,19.8,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.1,0.0,0.1,0.1,0.1,2014,,,,,,,,,,,,,
Federico Carrizo,ARG,"FW,MF",22.0,24.0,22,1644.0,18.3,1.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,0.05,0.33,0.38,0.05,0.38,2014,,,,,,,,,,,,,
Jonathan Calleri,ARG,FW,20.0,22.0,18,1621.0,18.0,8.0,1.0,9.0,8.0,0.0,0.0,5.0,0.0,0.44,0.06,0.5,0.44,0.5,2014,,,,,,,,,,,,,
Nicolás Colazo,ARG,"DF,MF",23.0,18.0,17,1538.0,17.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,2014,,,,,,,,,,,,,
Marcelo Meli,ARG,MF,21.0,18.0,16,1466.0,16.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.06,0.0,0.06,0.06,0.06,2014,,,,,,,,,,,,,
Emmanuel Gigliotti,ARG,FW,26.0,23.0,14,1388.0,15.4,7.0,0.0,7.0,7.0,0.0,2.0,2.0,0.0,0.45,0.0,0.45,0.45,0.45,2014,,,,,,,,,,,,,
Mariano Echeverría,ARG,DF,32.0,16.0,16,1385.0,15.4,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.13,0.0,0.13,0.13,0.13,2014,,,,,,,,,,,,,
Cristian Erbes,ARG,MF,24.0,16.0,16,1358.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Andrés Chávez,ARG,"FW,MF",22.0,19.0,13,1304.0,14.5,6.0,4.0,10.0,6.0,0.0,0.0,4.0,0.0,0.41,0.28,0.69,0.41,0.69,2014,,,,,,,,,,,,,
Fernando Gago,ARG,MF,27.0,16.0,16,1297.0,14.4,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.07,0.21,0.28,0.07,0.28,2014,,,,,,,,,,,,,
Cata Díaz,ARG,DF,34.0,14.0,14,1053.0,11.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.09,0.0,0.09,0.09,0.09,2014,,,,,,,,,,,,,
Gonzalo Castellani,ARG,MF,26.0,17.0,10,940.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
José Pedro Fuenzalida,CHI,"DF,FW",28.0,18.0,10,938.0,10.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.1,0.1,0.19,0.1,0.19,2014,,,,,,,,,,,,,
Emanuel Insúa,ARG,DF,22.0,15.0,9,870.0,9.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.1,0.0,0.1,0.1,0.1,2014,,,,,,,,,,,,,
Lisandro Magallán,ARG,DF,20.0,11.0,9,850.0,9.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11,0.0,0.11,0.11,0.11,2014,,,,,,,,,,,,,
Juan Forlín,ARG,"DF,MF",26.0,10.0,9,833.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Juan Manuel Martínez,ARG,"FW,MF",28.0,14.0,7,704.0,7.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.38,0.0,0.38,0.38,0.38,2014,,,,,,,,,,,,,
Andrés Cubas,PAR,MF,17.0,9.0,8,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Claudio Pérez,ARG,DF,28.0,8.0,6,659.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Hernán Grana,ARG,DF,28.0,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Luciano Acosta,ARG,"FW,MF",19.0,12.0,3,448.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.2,2014,,,,,,,,,,,,,
Federico Bravo,ARG,"DF,MF",20.0,8.0,5,416.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Nahuel Zárate,ARG,DF,21.0,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Franco Cristaldo,ARG,"FW,MF",17.0,3.0,1,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Pablo Ledesma,ARG,MF,29.0,3.0,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Juan Cruz Komar,ARG,DF,17.0,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Emanuel Trípodi,ARG,GK,33.0,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Leonardo Suárez,ARG,"FW,MF",17.0,2.0,0,58.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.55,0.0,1.55,2014,,,,,,,,,,,,,
Guillermo Burdisso,ARG,DF,25.0,1.0,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Joel Acosta,ARG,"FW,MF",23.0,1.0,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,
Cata Díaz,ARG,DF,35.0,31.0,31,2673.0,29.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.07,0.0,0.07,0.07,0.07,2015,,,,,,,,,,,,,
Agustín Orión,ARG,GK,33.0,28.0,28,2398.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Jonathan Calleri,ARG,FW,21.0,30.0,23,2127.0,23.6,14.0,3.0,17.0,14.0,0.0,0.0,2.0,1.0,0.59,0.13,0.72,0.59,0.72,2015,,,,,,,,,,,,,
Nicolás Colazo,ARG,"DF,MF",24.0,28.0,23,2087.0,23.2,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.09,0.09,0.17,0.09,0.17,2015,,,,,,,,,,,,,
Marcelo Meli,ARG,MF,22.0,27.0,22,1986.0,22.1,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,0.18,0.0,0.18,0.18,0.18,2015,,,,,,,,,,,,,
Gino Peruzzi,ARG,DF,22.0,23.0,22,1929.0,21.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.05,0.0,0.05,0.05,0.05,2015,,,,,,,,,,,,,
Nicolás Lodeiro,URU,"FW,MF",25.0,26.0,21,1919.0,21.3,4.0,6.0,10.0,3.0,1.0,1.0,3.0,0.0,0.19,0.28,0.47,0.14,0.42,2015,,,,,,,,,,,,,
Cristian Erbes,ARG,MF,25.0,22.0,20,1832.0,20.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.05,0.05,0.1,0.05,0.1,2015,,,,,,,,,,,,,
Fabián Monzón,ARG,DF,27.0,20.0,19,1688.0,18.8,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.11,0.05,0.16,0.11,0.16,2015,,,,,,,,,,,,,
Fernando Gago,ARG,MF,28.0,20.0,18,1509.0,16.8,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,0.12,0.06,0.18,0.06,0.12,2015,,,,,,,,,,,,,
Pablo Pérez,ARG,MF,29.0,21.0,18,1439.0,16.0,2.0,2.0,4.0,2.0,0.0,0.0,14.0,2.0,0.13,0.13,0.25,0.13,0.25,2015,,,,,,,,,,,,,
Marco Torsiglieri,ARG,"DF,MF",27.0,16.0,15,1360.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Sebastián Palacios,ARG,"FW,MF",23.0,19.0,14,1167.0,13.0,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,0.39,0.23,0.62,0.39,0.62,2015,,,,,,,,,,,,,
Carlos Tevez,ARG,"FW,MF",30.0,12.0,12,1071.0,11.9,5.0,2.0,7.0,4.0,1.0,2.0,4.0,0.0,0.42,0.17,0.59,0.34,0.5,2015,,,,,,,,,,,,,
Federico Carrizo,ARG,"FW,MF",23.0,16.0,13,1053.0,11.7,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.26,0.17,0.43,0.26,0.43,2015,,,,,,,,,,,,,
Dani Osvaldo,ITA,FW,29.0,15.0,12,1036.0,11.5,5.0,1.0,6.0,3.0,2.0,2.0,3.0,0.0,0.43,0.09,0.52,0.26,0.35,2015,,,,,,,,,,,,,
Guillermo Sara,ARG,GK,27.0,13.0,10,1019.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Andrés Chávez,ARG,"FW,MF",23.0,19.0,10,979.0,10.9,5.0,2.0,7.0,4.0,1.0,1.0,3.0,0.0,0.46,0.18,0.64,0.37,0.55,2015,,,,,,,,,,,,,
Rodrigo Bentancur,URU,MF,17.0,18.0,9,923.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Fernando Tobio,ARG,DF,25.0,12.0,9,889.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Leandro Marín,ARG,DF,23.0,11.0,9,864.0,9.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.21,0.21,0.42,0.21,0.42,2015,,,,,,,,,,,,,
Andrés Cubas,PAR,MF,18.0,11.0,11,858.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Alexis Rolín,URU,DF,25.0,10.0,9,787.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Guillermo Burdisso,ARG,DF,26.0,10.0,8,755.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.12,0.0,0.12,0.12,0.12,2015,,,,,,,,,,,,,
Juan Manuel Martínez,ARG,"FW,MF",29.0,11.0,9,647.0,7.2,4.0,1.0,5.0,3.0,1.0,1.0,2.0,0.0,0.56,0.14,0.7,0.42,0.56,2015,,,,,,,,,,,,,
José Pedro Fuenzalida,CHI,"DF,FW",29.0,15.0,7,647.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Franco Cristaldo,ARG,"FW,MF",18.0,11.0,5,462.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,2015,,,,,,,,,,,,,
Cristian Pavón,ARG,"FW,MF",19.0,8.0,4,392.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.23,0.0,0.23,0.23,0.23,2015,,,,,,,,,,,,,
Juan Cruz Komar,ARG,DF,18.0,4.0,3,346.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,2015,,,,,,,,,,,,,
Gonzalo Castellani,ARG,MF,27.0,4.0,1,183.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.98,0.98,0.0,0.98,2015,,,,,,,,,,,,,
Federico Bravo,ARG,"DF,MF",21.0,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Lisandro Magallán,ARG,DF,21.0,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Emmanuel Gigliotti,ARG,FW,27.0,1.0,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,,,,,,,,,,,,,
Guido Vadalá,ARG,"FW,MF",17.0,2.0,0,24.0,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.75,0.0,3.75,2015,,,,,,,,,,,,,
Emanuel Trípodi,ARG,GK,34.0,0.0,0,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,
Tomas Pochettino,ARG,"FW,MF",18.0,0.0,0,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,
Cristian Pavón,ARG,FW,20.0,30.0,30,2571.0,28.6,9.0,9.0,18.0,9.0,0.0,0.0,2.0,0.0,0.32,0.32,0.63,0.32,0.63,2016,0.0,0.0,0.0,0.0,144.0,70.0,314.0,0.0,0.0,0.0,0.0,0.0,21.0
Pablo Pérez,ARG,MF,30.0,28.0,28,2297.0,25.5,0.0,3.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.12,0.12,0.0,0.12,2016,0.0,0.0,0.0,0.0,35.0,178.0,73.0,0.0,0.0,0.0,0.0,0.0,21.0
Gino Peruzzi,ARG,DF,24.0,26.0,25,2167.0,24.1,3.0,3.0,6.0,3.0,0.0,0.0,6.0,0.0,0.12,0.12,0.25,0.12,0.25,2016,0.0,0.0,0.0,0.0,36.0,84.0,104.0,0.0,0.0,0.0,0.0,0.0,21.0
Santiago Vergini,ARG,DF,27.0,28.0,24,2225.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,0.0,0.0,0.0,10.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0
Darío Benedetto,ARG,FW,26.0,25.0,24,1843.0,20.5,21.0,3.0,24.0,20.0,1.0,1.0,4.0,0.0,1.03,0.15,1.17,0.98,1.12,2016,0.0,0.0,0.0,0.0,16.0,42.0,112.0,0.0,0.0,0.0,0.0,0.0,21.0
Rodrigo Bentancur,URU,MF,19.0,22.0,20,1837.0,20.4,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.15,0.15,0.0,0.15,2016,0.0,0.0,0.0,0.0,54.0,113.0,31.0,0.0,0.0,0.0,0.0,0.0,21.0
Juan Manuel Insaurralde,ARG,DF,31.0,19.0,18,1663.0,18.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,2016,0.0,0.0,0.0,0.0,13.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0
Frank Fabra,COL,DF,25.0,20.0,18,1614.0,17.9,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.06,0.17,0.22,0.06,0.22,2016,0.0,0.0,0.0,0.0,43.0,49.0,56.0,0.0,0.0,0.0,0.0,0.0,21.0
Ricardo Centurión,ARG,"FW,MF",23.0,22.0,17,1353.0,15.0,8.0,1.0,9.0,8.0,0.0,0.0,1.0,1.0,0.53,0.07,0.6,0.53,0.6,2016,0.0,0.0,0.0,0.0,67.0,64.0,110.0,0.0,0.0,0.0,0.0,0.0,21.0
Agustín Rossi,ARG,GK,20.0,16.0,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Fernando Gago,ARG,MF,30.0,16.0,16,1432.0,15.9,2.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,0.13,0.13,0.25,0.06,0.19,2016,0.0,0.0,0.0,0.0,30.0,148.0,13.0,0.0,0.0,0.0,0.0,0.0,21.0
Fernando Tobio,ARG,DF,26.0,13.0,13,1137.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Jonathan Silva,ARG,DF,22.0,13.0,12,1091.0,12.1,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.08,0.25,0.33,0.08,0.33,2016,0.0,0.0,0.0,0.0,43.0,48.0,56.0,0.0,0.0,0.0,0.0,0.0,21.0
Guillermo Sara,ARG,GK,28.0,12.0,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
